X,K,L,NMI,RAND,DAVIES
X_train,11,7,0.523357701837,0.333435773252,7.14127120954
X_train_norm,11,7,0.542455820698,0.356481437271,6.14448324947
X_train_tfidf,11,7,0.551309628574,0.199694628059,6.94204143264
X_train_norm_tfidf,11,7,0.537268775317,0.252589367921,8.14651147177
X_train,11,10,0.499651419884,0.319592245446,6.20628244487
X_train_norm,11,10,0.565130061853,0.409828024889,6.85638147592
X_train_tfidf,11,10,0.559303260824,0.312251547025,8.77511743606
X_train_norm_tfidf,11,10,0.469616002958,0.192874029683,7.71566719512
X_train,11,13,0.526835629794,0.311157394526,6.96288692867
X_train_norm,11,13,0.559170425767,0.367277098184,6.86617579022
