X,K,L,NMI,RAND,DAVIES
X_train,13,7,0.174295444857,0.0641669697392,13.1899789858
X_train,13,7,0.236782877117,0.108550658505,13.0522416713
X_train,13,7,0.189383026454,0.0688800460989,13.1726232644
X_train,13,7,0.277188504033,0.110777951586,10.6260985387
X_train,13,7,0.238662644187,0.089595599648,13.2520153178
X_train,13,7,0.233918163366,0.0861252158095,13.2506789009
X_train,13,7,0.259781496357,0.111645122373,11.950828708
X_train,13,7,0.174111527419,0.069023880127,13.122032929
X_train,13,7,0.277093865804,0.127088814097,12.0382763688
X_train,13,7,0.187403872448,0.081870586101,13.1231934902
X_train_norm,13,7,0.238891708182,0.101924061733,13.0252831533
X_train_norm,13,7,0.159363407245,0.0651648859518,13.8790282137
X_train_norm,13,7,0.240910506782,0.0903287632964,12.77009089
X_train_norm,13,7,0.24023782727,0.0933926435326,13.0978820057
X_train_norm,13,7,0.179970010514,0.0759072697894,12.9774616844
X_train_norm,13,7,0.211282202041,0.0836382047938,12.8410320374
X_train_norm,13,7,0.193921714087,0.0673425142985,13.528791461
X_train_norm,13,7,0.269505805574,0.0984915643626,10.9895052241
X_train_norm,13,7,0.243172854019,0.0847453582594,12.9734477468
X_train_norm,13,7,0.284701763478,0.130493037988,11.9613577798
X_train_tfidf,13,7,0.415790056061,0.21599303899,11.6269611119
X_train_tfidf,13,7,0.39423889998,0.154813412394,12.6915519572
X_train_tfidf,13,7,0.424362073698,0.19433889304,11.7562327808
X_train_tfidf,13,7,0.364292043225,0.153493249061,10.0709687335
X_train_tfidf,13,7,0.375521117173,0.153296351045,12.4456678926
X_train_tfidf,13,7,0.427234751581,0.199373885581,11.1762893722
X_train_tfidf,13,7,0.418435682705,0.185571439282,11.6331775439
X_train_tfidf,13,7,0.420309791597,0.199175056572,10.4115930295
X_train_tfidf,13,7,0.418757703053,0.185124590402,11.4716060825
X_train_tfidf,13,7,0.379016848654,0.142874068964,12.7739690056
X_train_norm_tfidf,13,7,0.46271055733,0.237163821574,11.0810669998
X_train_norm_tfidf,13,7,0.459962620957,0.230068286203,11.021121092
X_train_norm_tfidf,13,7,0.473696801782,0.241141660154,10.9770486437
X_train_norm_tfidf,13,7,0.410257078604,0.196925580631,11.6520946019
X_train_norm_tfidf,13,7,0.423035860359,0.220270262882,12.0232586078
X_train_norm_tfidf,13,7,0.424284536548,0.179332575508,11.0761053882
X_train_norm_tfidf,13,7,0.386956096955,0.152419980206,12.6603106382
X_train_norm_tfidf,13,7,0.467222061289,0.227642261945,11.0369897742
X_train_norm_tfidf,13,7,0.442963456723,0.21478917237,11.1528853843
X_train_norm_tfidf,13,7,0.414413615001,0.175922722773,10.216890059
