X,K,L,NMI,RAND,DAVIES
X_train,3,2,0.0505662456136,0.0413117237316,10.6256148111
X_train,3,2,0.0505662456136,0.0413117237316,10.6256148111
X_train,3,2,0.0505662456136,0.0413117237316,10.6256148111
X_train,3,2,0.0505662456136,0.0413117237316,10.6256148111
X_train,3,2,0.0505662456136,0.0413117237316,10.6256148111
X_train,3,2,0.0505662456136,0.0413117237316,10.6256148111
X_train,3,2,0.0505662456136,0.0413117237316,10.6256148111
X_train,3,2,0.0505662456136,0.0413117237316,10.6256148111
X_train,3,2,0.0505662456136,0.0413117237316,10.6256148111
X_train,3,2,0.0505662456136,0.0413117237316,10.6256148111
X_train_norm,3,2,0.0505662456136,0.0413117237316,10.6256148111
X_train_norm,3,2,0.0505662456136,0.0413117237316,10.6256148111
X_train_norm,3,2,0.0505662456136,0.0413117237316,10.6256148111
X_train_norm,3,2,0.0505662456136,0.0413117237316,10.6256148111
X_train_norm,3,2,0.0505662456136,0.0413117237316,10.6256148111
X_train_norm,3,2,0.0505662456136,0.0413117237316,10.6256148111
X_train_norm,3,2,0.0505662456136,0.0413117237316,10.6256148111
X_train_norm,3,2,0.0505662456136,0.0413117237316,10.6256148111
X_train_norm,3,2,0.0505662456136,0.0413117237316,10.6256148111
X_train_norm,3,2,0.0505662456136,0.0413117237316,10.6256148111
X_train_tfidf,3,2,0.0946561297355,0.101647918513,nan
X_train_tfidf,3,2,0.0748187544656,0.0786580799492,nan
X_train_tfidf,3,2,0.0748187544656,0.0786580799492,nan
X_train_tfidf,3,2,0.0748187544656,0.0786580799492,nan
X_train_tfidf,3,2,0.0565214352466,0.0599288871629,nan
X_train_tfidf,3,2,0.0837519844373,0.0886976654446,nan
X_train_tfidf,3,2,0.0837519844373,0.0886976654446,nan
X_train_tfidf,3,2,0.0837519844373,0.0886976654446,nan
X_train_tfidf,3,2,0.0748187544656,0.0786580799492,nan
X_train_tfidf,3,2,0.0788681771762,0.0691942016659,10.6949493484
X_train_norm_tfidf,3,2,0.0565214352466,0.0599288871629,nan
X_train_norm_tfidf,3,2,0.0748187544656,0.0786580799492,nan
X_train_norm_tfidf,3,2,0.0837519844373,0.0886976654446,nan
X_train_norm_tfidf,3,2,0.0748187544656,0.0786580799492,nan
X_train_norm_tfidf,3,2,0.0837519844373,0.0886976654446,nan
X_train_norm_tfidf,3,2,0.0565214352466,0.0599288871629,nan
X_train_norm_tfidf,3,2,0.0748187544656,0.0786580799492,nan
X_train_norm_tfidf,3,2,0.086107046849,0.0804354397721,10.2955782429
X_train_norm_tfidf,3,2,0.0837519844373,0.0886976654446,nan
X_train_norm_tfidf,3,2,0.0878130007463,0.0737349357924,10.5569578794
X_train,3,3,0.293718616235,0.277461386594,8.1338655081
X_train,3,3,0.293718616235,0.277461386594,8.1338655081
X_train,3,3,0.214280244223,0.206274790613,8.14151663406
X_train,3,3,0.293718616235,0.277461386594,8.1338655081
X_train,3,3,0.293718616235,0.277461386594,8.1338655081
X_train,3,3,0.293718616235,0.277461386594,8.1338655081
X_train,3,3,0.20558085283,0.189193700096,8.26088025369
X_train,3,3,0.293718616235,0.277461386594,8.1338655081
X_train,3,3,0.293718616235,0.277461386594,8.1338655081
X_train,3,3,0.293718616235,0.277461386594,8.1338655081
X_train_norm,3,3,0.293718616235,0.277461386594,8.1338655081
X_train_norm,3,3,0.293718616235,0.277461386594,8.1338655081
X_train_norm,3,3,0.293718616235,0.277461386594,8.1338655081
X_train_norm,3,3,0.293718616235,0.277461386594,8.1338655081
X_train_norm,3,3,0.169636456805,0.163534269128,8.13333935157
X_train_norm,3,3,0.293718616235,0.277461386594,8.1338655081
X_train_norm,3,3,0.214280244223,0.206274790613,8.14151663406
X_train_norm,3,3,0.293718616235,0.277461386594,8.1338655081
X_train_norm,3,3,0.293718616235,0.277461386594,8.1338655081
X_train_norm,3,3,0.293718616235,0.277461386594,8.1338655081
X_train_tfidf,3,3,0.324921481286,0.230294558805,8.29824320746
X_train_tfidf,3,3,0.148767150807,0.159955421827,8.50415243281
X_train_tfidf,3,3,0.0557613498446,0.0459700775438,9.53618034397
X_train_tfidf,3,3,0.43883858944,0.423604245113,7.9323154173
X_train_tfidf,3,3,0.12387331041,0.101727594867,8.80268504299
X_train_tfidf,3,3,0.0255098257503,0.0250405035801,nan
X_train_tfidf,3,3,0.436578243111,0.420423232323,7.93809432644
X_train_tfidf,3,3,0.0349264284421,0.0355754401027,nan
X_train_tfidf,3,3,0.0658248512569,0.0653236199027,9.57296469618
X_train_tfidf,3,3,0.0349264284421,0.0355754401027,nan
X_train_norm_tfidf,3,3,0.0540967128191,0.0439952937501,9.22750046085
X_train_norm_tfidf,3,3,0.0255098257503,0.0250405035801,nan
X_train_norm_tfidf,3,3,0.0298608135993,0.029216878899,nan
X_train_norm_tfidf,3,3,0.0235038921456,0.0227229294417,nan
X_train_norm_tfidf,3,3,0.215584900739,0.19221527384,9.17702658139
X_train_norm_tfidf,3,3,0.369103788829,0.330528832724,8.46990785673
X_train_norm_tfidf,3,3,0.0337331875321,0.0343305013241,nan
X_train_norm_tfidf,3,3,0.0337331875321,0.0343305013241,nan
X_train_norm_tfidf,3,3,0.344763772499,0.299644678085,8.37721264262
X_train_norm_tfidf,3,3,0.0337331875321,0.0343305013241,nan
X_train,3,4,0.0173660588631,0.0153352008302,nan
X_train,3,4,0.0173660588631,0.0153352008302,nan
X_train,3,4,0.0173660588631,0.0153352008302,nan
X_train,3,4,0.0173660588631,0.0153352008302,nan
X_train,3,4,0.314692892768,0.238796060968,7.73724076172
X_train,3,4,0.0173660588631,0.0153352008302,nan
X_train,3,4,0.0173660588631,0.0153352008302,nan
X_train,3,4,0.049410876925,0.0192976958832,8.82253299903
X_train,3,4,0.30478820679,0.244189632147,8.36659503619
X_train,3,4,0.232386731211,0.16015623665,8.01479140748
X_train_norm,3,4,0.0173660588631,0.0153352008302,nan
X_train_norm,3,4,0.0173660588631,0.0153352008302,nan
X_train_norm,3,4,0.0173660588631,0.0153352008302,nan
