word,V cluster value,tf norm value
útil,1.0,0.0462847202446
empate,1.0,0.973060775729
emerson,1.0,0.23822612835
emissora,1.0,0.113273615639
emociona,1.0,0.0862420642795
emoções,1.0,0.10133432604
empata,1.0,0.111773099733
empatar,1.0,0.0484143012609
empates,1.0,0.0532025133399
empresas,1.0,0.709464330345
empatou,1.0,0.177640714617
empecilho,1.0,0.0408680825388
empolgado,1.0,0.0713187822608
empolgação,1.0,0.107752060152
empregados,1.0,0.089727635149
empregos,1.0,0.0556148656014
emergente,1.0,0.0604943724526
embora,1.0,0.839051525207
embate,1.0,0.141364280703
embalo,1.0,0.0554224170341
elogiou,1.0,0.0972433276653
elogios,1.0,0.309298226098
elogiar,1.0,0.0908041178936
elogiado,1.0,0.109549597526
eliminação,1.0,0.668606385737
eliminar,1.0,0.304578578942
eliminada,1.0,0.0710717559958
elimina,1.0,0.0969023819587
elevado,1.0,0.0399220193959
eletrônicos,1.0,0.139512966878
eletrônico,1.0,0.235120580411
elenco,1.0,0.649160395082
elementos,1.0,0.169376211224
empresa,1.0,1.89752592837
encaixa,1.0,0.0640038649736
eleito,1.0,0.152320895711
enfrentaria,1.0,0.087784686332
enfrenta,1.0,0.472049283213
enfrentado,1.0,0.082750524431
enfrentam,1.0,0.148908930952
enfrentando,1.0,0.109629362599
enfrentar,1.0,0.558751026314
enfrentaram,1.0,0.0837962446039
enfrentará,1.0,0.133399113438
encaixam,1.0,0.0718259123974
enfrentarão,1.0,0.102794578758
enfrentou,1.0,0.148993205134
engine,1.0,0.399722831088
english,1.0,0.128840490088
engraçado,1.0,0.0464960612324
enix,1.0,0.353828050187
enfim,1.0,0.065298431246
energia,1.0,0.209691043763
encontrou,1.0,0.178992762892
encontro,1.0,0.381804992499
encontrava,1.0,0.0647752874563
encontraram,1.0,0.0566217052284
encontrar,1.0,0.302330610605
encontram,1.0,0.0918329516921
encontrada,1.0,0.0723917101107
encontra,1.0,0.0683846302886
encheu,1.0,0.0484143012609
encerrou,1.0,0.111111111111
encerrar,1.0,0.102108056479
encerrado,1.0,0.118382193495
encarar,1.0,0.192402295547
encara,1.0,0.389380669422
encaixar,1.0,0.0560241625212
elemento,1.0,0.0809966417187
electronic,1.0,0.604217202679
enorme,1.0,0.130361130923
dualshock,1.0,0.241073149949
dream,1.0,0.212966342086
dreams,1.0,0.129328077832
drible,1.0,0.0465233645932
driblou,1.0,0.0744977420894
drogba,1.0,0.403926795241
ds,1.0,0.816962060921
dudu,1.0,0.218498799454
durou,1.0,0.217509940633
dungeonland,1.0,0.192621803125
dupla,1.0,0.364484605746
dura,1.0,0.13347894747
duras,1.0,0.0564584446646
durava,1.0,0.152804093367
duração,1.0,0.198817320706
dragqueen,1.0,0.0697042451541
draft,1.0,0.15262038104
download,1.0,0.532457225649
dourada,1.0,0.158256774194
double,1.0,0.328883955429
doses,1.0,0.109490524495
dortmund,1.0,0.105231896738
dores,1.0,0.270735809025
donos,1.0,0.212991157336
dono,1.0,0.391785176958
domínio,1.0,0.187330034525
dominância,1.0,0.0700862554083
dominou,1.0,0.238049250603
dominick,1.0,0.156890607658
domingo,1.0,0.928393334169
dominar,1.0,0.106927927049
