X,K,L,NMI,RAND,DAVIES
X_train,3,2,0.105763880717,0.112250589335,6.60967741576
X_train,3,2,0.00955425382046,-0.000504490234317,3.60430111693
X_train,3,2,0.112166021861,0.0930987431886,7.26283227383
X_train,3,2,0.0114363896112,0.000152143507417,3.95778514682
X_train,3,2,0.074377378081,0.0806982433705,7.25519125519
X_train,3,2,0.0114723704368,3.55065596593e-05,4.59394979827
X_train,3,2,0.122576021036,0.0955287790951,6.74944508687
X_train,3,2,0.0690631774661,0.0523875238293,7.89910932922
X_train,3,2,0.18211731532,0.168388052164,6.18708472597
X_train,3,2,0.099706659096,0.101180431965,6.61228548261
X_train_norm,3,2,0.523975002091,0.480404905785,7.13041405214
X_train_norm,3,2,0.53546365998,0.41783426376,6.01841241755
X_train_norm,3,2,0.504160091159,0.451108777411,8.1733467923
X_train_norm,3,2,0.613912814192,0.646067872305,6.3207704238
X_train_norm,3,2,0.554770180275,0.492391109252,6.33138256682
X_train_norm,3,2,0.502765836651,0.449383409719,8.16141401588
X_train_norm,3,2,0.464053056662,0.402838225734,7.7935827313
X_train_norm,3,2,0.549768598539,0.426986013799,5.89456639739
X_train_norm,3,2,0.486067248303,0.440589540582,8.21492336316
X_train_norm,3,2,0.46220323797,0.397744598058,8.18204845577
X_train_tfidf,3,2,0.0165378481869,0.000598250160109,5.26099313244
X_train_tfidf,3,2,0.0126688866782,-0.00026560069794,3.29601494815
X_train_tfidf,3,2,0.00452864853373,-0.000444820943217,4.13717064516
X_train_tfidf,3,2,0.0102948375057,-0.000172439946866,2.92783211148
X_train_tfidf,3,2,0.00831990019078,-0.000443257303298,3.53098323455
X_train_tfidf,3,2,0.012654859657,-0.000330694852543,3.21577925374
X_train_tfidf,3,2,0.0414848822314,0.0170982304323,8.18872721087
X_train_tfidf,3,2,0.0530110052105,0.028040646911,8.28145168057
X_train_tfidf,3,2,0.0631866596296,0.0689663332184,7.85840126935
X_train_tfidf,3,2,0.0476501096218,0.0214216530342,7.64899332097
X_train_norm_tfidf,3,2,0.229607696764,0.16677325654,8.65808000174
X_train_norm_tfidf,3,2,0.194659103643,0.0482034566717,4.06597191453
X_train_norm_tfidf,3,2,0.532533823106,0.526554002715,7.71328052907
X_train_norm_tfidf,3,2,0.52561507586,0.495813995883,7.89315969186
X_train_norm_tfidf,3,2,0.219404482379,0.0545395922418,4.36973321238
X_train_norm_tfidf,3,2,0.157219731085,0.0510994607359,9.30830562388
X_train_norm_tfidf,3,2,0.556311425934,0.413686874779,7.28263389115
X_train_norm_tfidf,3,2,0.464795848148,0.411220888128,8.47553755804
X_train_norm_tfidf,3,2,0.522694560526,0.47803246848,8.03112265769
X_train_norm_tfidf,3,2,0.48635175012,0.441979394905,9.51496924696
X_train,3,3,0.102590744011,0.0220781357711,4.19185073884
X_train,3,3,0.353541068463,0.326511461842,5.07352824857
X_train,3,3,0.102590744011,0.0220781357711,4.19185073884
X_train,3,3,0.393156447125,0.386675093746,5.24043687555
X_train,3,3,0.353541068463,0.326511461842,5.07352824857
X_train,3,3,0.286096827615,0.259482565826,5.33938361576
X_train,3,3,0.353541068463,0.326511461842,5.07352824857
X_train,3,3,0.13723492398,0.0645768676799,4.56700066142
X_train,3,3,0.34685865253,0.322926327942,5.07425885276
X_train,3,3,0.385042104238,0.371667544699,5.16977355596
X_train_norm,3,3,0.577096664924,0.472515446739,4.88894537685
X_train_norm,3,3,0.577096664924,0.472515446739,4.88894537685
X_train_norm,3,3,0.646590524328,0.643330449211,5.62192693246
X_train_norm,3,3,0.577096664924,0.472515446739,4.88894537685
X_train_norm,3,3,0.577096664924,0.472515446739,4.88894537685
X_train_norm,3,3,0.577096664924,0.472515446739,4.88894537685
X_train_norm,3,3,0.646590524328,0.643330449211,5.62192693246
X_train_norm,3,3,0.609579351527,0.515359592747,4.97063203058
X_train_norm,3,3,0.574503553678,0.468793003227,4.93193955798
X_train_norm,3,3,0.681616360542,0.700077750324,5.65436581231
X_train_tfidf,3,3,0.0209536700704,0.000141799506046,3.1507038417
X_train_tfidf,3,3,0.0156369343336,-0.000140862245134,3.04236504756
X_train_tfidf,3,3,0.0209536700704,0.000141799506046,3.1507038417
X_train_tfidf,3,3,0.442981549585,0.41413148666,5.86800922718
X_train_tfidf,3,3,0.474117492536,0.434005293211,5.77095139497
X_train_tfidf,3,3,0.4868504364,0.450876044177,6.11381993368
X_train_tfidf,3,3,0.0209536700704,0.000141799506046,3.1507038417
X_train_tfidf,3,3,0.476584882674,0.423713256314,6.11118696071
X_train_tfidf,3,3,0.0919166331182,0.0175186088213,4.3713550308
X_train_tfidf,3,3,0.0919166331182,0.0175186088213,4.3713550308
X_train_norm_tfidf,3,3,0.510286640106,0.422781676512,6.13252275605
X_train_norm_tfidf,3,3,0.681939452481,0.574337050647,6.40195257874
X_train_norm_tfidf,3,3,0.686850219425,0.668101581113,6.76332553712
X_train_norm_tfidf,3,3,0.681939452481,0.574337050647,6.40195257874
