X,K,L,NMI,RAND,DAVIES
X_train,3,2,0.31136733895,0.308619259731,5.32496350376
X_train_norm,3,2,0.780190854175,0.812411363971,5.70439311217
X_train_tfidf,3,2,0.0321150144408,0.00055792601345,2.58598401712
X_train_norm_tfidf,3,2,0.692871910489,0.661519348621,6.75506067549
X_train,3,3,0.390218651182,0.390600325645,5.00282956858
X_train_norm,3,3,0.738006756674,0.761304015174,5.68593744768
X_train_tfidf,3,3,0.031625119284,0.000139234462987,1.87995472325
X_train_norm_tfidf,3,3,0.722492777707,0.707617700815,6.76850354648
X_train,3,4,0.353983286713,0.366259099927,5.38389957034
X_train_norm,3,4,0.766998221359,0.778893425206,5.67143323341
X_train_tfidf,3,4,0.0263929345497,0.000520400009594,3.26038507647
X_train_norm_tfidf,3,4,0.673731863426,0.620757379365,6.74412140756
X_train,3,5,0.388732082012,0.387371781101,5.06498283961
X_train_norm,3,5,0.689293841559,0.712588651918,5.70576804069
X_train_tfidf,3,5,0.0459056278078,0.0034019910001,4.2262016487
X_train_norm_tfidf,3,5,0.700164353841,0.669168640985,6.74482076363
X_train,3,6,0.325121656529,0.343728622928,5.65524790021
X_train_norm,3,6,0.756406285772,0.779365129456,5.70427880781
X_train_tfidf,3,6,0.0681600960189,0.0186463408176,6.2308772897
X_train_norm_tfidf,3,6,0.744278631393,0.71552035447,6.74178282156
